id;NumberOfModules;NumberOfFragments;EvaluationTime;ModuleConfiguration;
39;22;211;4;SearchAlg_DFS + Weighted + SearchAlg_BFS + SearchAlg + GN_OnlyNeighbors#Weighted + GN_OnlyNeighbors#Weighted + Edges_Directed + Benchmark + Alg_Transpose + Alg_StronglyConnected#Benchmark + Alg_StronglyConnected + Alg_Number + Alg_MSTKruskal + Alg_Cycle + Alg_Connected + ( SearchAlg_SearchBase -> GEN_Edges ) + ( Base - GN_OnlyNeighbors -> GEN_Edges ) + ( GN_OnlyNeighbors -> GEN_Edges );
40;17;149;2;SearchAlg_DFS + Weighted + SearchAlg_BFS + SearchAlg + Prog + GN_OnlyNeighbors#Weighted + GN_OnlyNeighbors#Weighted + Edges_Undirected + Alg_Shortest + Alg_Cycle + ( SearchAlg_SearchBase -> GEN_Edges ) + ( Base - GN_OnlyNeighbors -> GEN_Edges ) + ( GN_OnlyNeighbors -> GEN_Edges );
41;24;175;5;SearchAlg_DFS + Weighted + SearchAlg + G_NoEdges#Weighted#Edges_Undirected + G_NoEdges#Weighted + G_NoEdges#Edges_Undirected + Benchmark + Alg_Transpose + Alg_Shortest + Alg_Number + Alg_MSTPrim + Alg_MSTKruskal + Alg_Cycle + ( Edges_Directed -> Edges_Undirected ) + ( SearchAlg_SearchBase -> GEN_Edges ) + ( Base - G_NoEdges -> GEN_Edges ) + ( G_NoEdges -> Edges_Undirected ) + ( G_NoEdges -> GEN_Edges );
42;6;112;1;SearchAlg_SearchBase + Weighted + SearchAlg_BFS + Benchmark + Base + Alg_MSTPrim;
43;8;102;1;SearchAlg + Weighted + Prog + Benchmark + Base + Alg_Transpose + Alg_Shortest + Alg_Connected;
44;18;167;3;SearchAlg_DFS + Weighted + SearchAlg + Prog + Edges_Undirected + Benchmark + Alg_Transpose + Alg_StronglyConnected#Benchmark + Alg_StronglyConnected + Alg_Shortest + Alg_Number + Alg_MSTPrim + Alg_MSTKruskal + Alg_Connected + ( SearchAlg_SearchBase -> GEN_Edges ) + ( Base -> GEN_Edges );
45;12;149;2;SearchAlg_SearchBase + Weighted + SearchAlg + Prog + G_NoEdges#Weighted + Edges_Directed + Benchmark + Alg_Transpose + Alg_Number + Alg_MSTKruskal + ( Base -> G_NoEdges );
46;13;159;4;SearchAlg_SearchBase + Weighted + SearchAlg_BFS + SearchAlg + Edges_Directed + Benchmark + Base + Alg_Transpose + Alg_StronglyConnected#Benchmark + Alg_StronglyConnected + Alg_Number + Alg_Cycle + Alg_Connected;
47;20;177;6;SearchAlg_SearchBase + Weighted + SearchAlg_BFS + SearchAlg + G_NoEdges#Weighted#Edges_Undirected + G_NoEdges#Weighted + G_NoEdges#Edges_Undirected + Benchmark + Alg_Transpose + Alg_StronglyConnected#Benchmark + Alg_StronglyConnected + Alg_Shortest + Alg_MSTPrim + Alg_MSTKruskal + ( Edges_Directed -> Edges_Undirected ) + ( Base -> G_NoEdges ) + ( G_NoEdges -> Edges_Undirected );
48;11;144;4;SearchAlg_SearchBase + Weighted + SearchAlg_DFS + GN_OnlyNeighbors#Weighted + GN_OnlyNeighbors#Weighted + Benchmark + Alg_Shortest + Alg_MSTPrim + Alg_MSTKruskal + ( Base -> GN_OnlyNeighbors );
49;7;99;2;SearchAlg + Weighted + Prog + Edges_Undirected + Benchmark + Base + Alg_Number;
50;16;165;4;SearchAlg + Weighted + Prog + Benchmark + Alg_Transpose + Alg_StronglyConnected#Benchmark + Alg_StronglyConnected + Alg_Shortest + Alg_Number + Alg_MSTPrim + Alg_MSTKruskal + Alg_Connected + ( SearchAlg_SearchBase -> GEN_Edges ) + ( Base -> GEN_Edges );
51;22;208;6;SearchAlg_BFS + Weighted + SearchAlg + Prog + G_NoEdges#Weighted + Benchmark + Alg_Transpose + Alg_StronglyConnected#Benchmark + Alg_StronglyConnected + Alg_Shortest + Alg_Number + Alg_MSTPrim + Alg_MSTKruskal + Alg_Cycle + Alg_Connected + ( SearchAlg_SearchBase -> GEN_Edges ) + ( Base -> G_NoEdges -> GEN_Edges ) + ( G_NoEdges -> GEN_Edges );
52;5;86;1;Weighted + ( SearchAlg_SearchBase -> GEN_Edges ) + ( Base -> GEN_Edges );
53;7;88;1;Alg_Transpose + Weighted + Alg_Shortest + ( SearchAlg_SearchBase -> GEN_Edges ) + ( Base -> GEN_Edges );
54;17;163;3;SearchAlg + Weighted + Prog + G_NoEdges#Weighted + GN_OnlyNeighbors#Weighted + GN_OnlyNeighbors#Weighted + Edges_Directed + Alg_Transpose + Alg_StronglyConnected + Alg_Shortest + Alg_Number + Alg_Cycle + ( Base -> GN_OnlyNeighbors -> G_NoEdges ) + ( GN_OnlyNeighbors -> G_NoEdges );
55;10;106;2;SearchAlg + Weighted + G_NoEdges#Weighted#Edges_Undirected + G_NoEdges#Weighted + G_NoEdges#Edges_Undirected + Alg_Cycle + ( Base -> G_NoEdges ) + ( G_NoEdges -> Edges_Undirected );
56;11;137;3;SearchAlg_SearchBase + Weighted + SearchAlg + Edges_Directed + Benchmark + Base + Alg_Transpose + Alg_StronglyConnected#Benchmark + Alg_StronglyConnected + Alg_MSTPrim + Alg_Cycle;
57;10;137;2;SearchAlg_BFS + Weighted + SearchAlg + Prog + G_NoEdges#Weighted + Edges_Directed + Benchmark + Alg_Connected + ( Base -> G_NoEdges );
58;6;102;1;SearchAlg_SearchBase + Weighted + Prog + Benchmark + Base + Alg_MSTPrim;
59;12;142;2;SearchAlg_DFS + Weighted + SearchAlg_BFS + SearchAlg + G_NoEdges#Weighted + Edges_Directed + Benchmark + Alg_Shortest + Alg_Number + Alg_Cycle + ( Base -> G_NoEdges );
60;12;144;3;SearchAlg_SearchBase + Weighted + SearchAlg_BFS + SearchAlg + Edges_Directed + Benchmark + Base + Alg_Transpose + Alg_Number + Alg_MSTPrim + Alg_MSTKruskal + Alg_Cycle;
61;7;105;2;SearchAlg + Weighted + G_NoEdges#Weighted + Alg_Transpose + Alg_Cycle + ( Base -> G_NoEdges );
